epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
373,3.29501,2.30861,0.98640,6.11146,4.88680,1.22466,81.2
374,3.32783,2.34175,0.98608,6.08511,4.84104,1.24407,81.7
375,3.29389,2.30433,0.98956,6.06483,4.83846,1.22637,81.7
376,3.29910,2.31207,0.98704,5.84197,4.62433,1.21764,81.7
377,3.35509,2.36689,0.98821,5.96594,4.74054,1.22540,81.6
378,3.31718,2.33208,0.98510,6.00768,4.78374,1.22393,80.8
379,3.24333,2.25699,0.98633,5.77154,4.53725,1.23429,81.0
380,3.30192,2.31176,0.99015,6.02090,4.78679,1.23411,80.7
381,3.27534,2.28835,0.98699,6.17685,4.94261,1.23424,80.7
382,3.25600,2.27041,0.98559,6.24099,5.00938,1.23161,81.1
383,3.32274,2.33514,0.98760,6.11448,4.87821,1.23627,81.1
384,3.33044,2.34522,0.98522,6.01325,4.78777,1.22548,82.3
385,3.27687,2.28857,0.98830,5.96774,4.73453,1.23321,81.6
386,3.28437,2.29691,0.98746,5.98062,4.74242,1.23820,82.0
387,3.31765,2.33071,0.98694,5.93429,4.69411,1.24017,83.0
388,3.30804,2.31569,0.99235,5.97160,4.72767,1.24393,82.3
389,3.32748,2.34005,0.98743,5.89674,4.67668,1.22005,83.6
390,3.34633,2.35513,0.99120,5.92763,4.70077,1.22686,81.4
391,3.24577,2.25426,0.99152,6.08776,4.84399,1.24377,81.2
392,3.23007,2.24691,0.98315,5.87612,4.63076,1.24536,81.6
393,3.33111,2.34403,0.98708,5.87365,4.64304,1.23061,81.5
394,3.19828,2.21455,0.98374,6.07152,4.84711,1.22441,81.6
395,3.25259,2.26722,0.98538,5.88988,4.65474,1.23513,81.3
