epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
87,4.68974,3.64748,1.04226,6.50668,5.27354,1.23315,81.8
88,4.66812,3.62699,1.04113,6.60674,5.37859,1.22815,82.2
89,4.62682,3.57858,1.04824,6.48925,5.25422,1.23504,81.5
90,4.61894,3.57867,1.04028,6.41067,5.17981,1.23085,81.5
91,4.66256,3.61903,1.04353,6.47232,5.24206,1.23026,81.1
92,4.64697,3.60445,1.04252,6.66967,5.43266,1.23702,81.5
93,4.56147,3.52199,1.03948,6.37807,5.14581,1.23226,82.0
94,4.53704,3.50097,1.03607,6.51849,5.28552,1.23296,84.8
95,4.59176,3.54987,1.04189,6.34382,5.10942,1.23440,84.3
96,4.59502,3.55361,1.04141,6.37033,5.12817,1.24216,82.4
97,4.53013,3.48998,1.04015,6.47192,5.24546,1.22647,82.8
98,4.59469,3.55694,1.03775,6.41023,5.17878,1.23145,83.5
99,4.56761,3.52775,1.03986,6.46059,5.22599,1.23459,83.3
100,4.50129,3.45898,1.04232,6.26752,5.03423,1.23330,83.2
101,4.49636,3.45033,1.04603,6.51905,5.28684,1.23221,83.3
102,4.47416,3.43277,1.04139,6.30503,5.06828,1.23675,83.6
103,4.53960,3.49807,1.04153,6.30692,5.07211,1.23480,82.7
104,4.57306,3.53136,1.04170,6.33330,5.10316,1.23014,82.9
105,4.46705,3.42766,1.03938,6.46565,5.24068,1.22497,82.8
106,4.49695,3.46098,1.03598,6.36571,5.13207,1.23364,83.3
107,4.48106,3.43953,1.04153,6.34755,5.12465,1.22290,83.1
108,4.45091,3.41103,1.03988,6.38824,5.16395,1.22429,82.7
109,4.48679,3.44752,1.03927,6.37269,5.14176,1.23094,83.4
110,4.42469,3.38502,1.03967,6.21815,4.97638,1.24177,83.7
111,4.40346,3.36608,1.03738,6.29635,5.06408,1.23227,82.9
112,4.46469,3.42295,1.04175,6.27958,5.04675,1.23282,83.0
113,4.30506,3.26754,1.03752,6.49814,5.27111,1.22703,83.3
114,4.42729,3.39201,1.03528,6.29243,5.05000,1.24243,83.3
115,4.44255,3.41029,1.03226,6.36685,5.13764,1.22922,82.8
116,4.34882,3.31556,1.03326,6.24642,5.01362,1.23280,82.7
117,4.36610,3.32945,1.03665,6.28650,5.06602,1.22047,83.2
118,4.36586,3.33146,1.03440,6.26103,5.03609,1.22495,83.1
119,4.37004,3.33977,1.03027,6.40942,5.17825,1.23117,83.3
120,4.39237,3.35873,1.03365,6.23286,5.00705,1.22581,83.0
121,4.30814,3.27206,1.03608,6.39097,5.15008,1.24089,82.8
122,4.35577,3.32025,1.03552,6.34814,5.10891,1.23923,82.5
123,4.27776,3.24197,1.03579,6.35266,5.12070,1.23196,82.7
124,4.32281,3.29049,1.03233,6.41496,5.17882,1.23614,82.7
125,4.31499,3.28394,1.03105,6.22950,5.00770,1.22180,83.0
126,4.33080,3.29753,1.03327,6.29888,5.07017,1.22872,82.7
127,4.33760,3.30636,1.03124,6.28198,5.04942,1.23256,86.1
128,4.22746,3.19095,1.03651,6.25697,5.01709,1.23989,85.8
129,4.27801,3.24612,1.03189,6.44104,5.21250,1.22855,86.6
130,4.26799,3.23463,1.03336,6.30427,5.07266,1.23162,86.3
131,4.28340,3.24969,1.03371,6.41603,5.18882,1.22721,87.1
132,4.31875,3.28538,1.03337,6.21523,4.98714,1.22809,87.1
133,4.31789,3.28553,1.03236,6.44355,5.21514,1.22841,83.2
134,4.20784,3.17663,1.03121,6.18205,4.94553,1.23652,82.5
135,4.20388,3.17261,1.03126,6.29978,5.07130,1.22848,84.0
136,4.22898,3.19591,1.03307,6.34786,5.11300,1.23485,84.6
137,4.22851,3.19800,1.03051,6.29801,5.06957,1.22844,86.3
138,4.17909,3.15166,1.02744,6.23808,5.00679,1.23129,86.0
139,4.21180,3.18154,1.03026,6.35817,5.12454,1.23363,86.1
140,4.14126,3.11330,1.02796,6.28130,5.04697,1.23433,86.6
141,4.20983,3.18232,1.02751,6.25154,5.02079,1.23075,86.1
142,4.19322,3.16418,1.02904,6.30840,5.07733,1.23107,86.5
143,4.17465,3.14087,1.03378,6.33992,5.10270,1.23723,86.0
144,4.23804,3.20571,1.03233,6.25397,5.02023,1.23374,86.4
145,4.16103,3.12965,1.03138,6.17697,4.94098,1.23599,86.3
146,4.13471,3.10680,1.02791,6.15449,4.92619,1.22830,86.0
147,4.20246,3.17911,1.02335,6.16712,4.93538,1.23174,86.7
148,4.18119,3.14979,1.03140,6.17267,4.94886,1.22382,86.2
149,4.10292,3.07461,1.02832,6.04844,4.81960,1.22884,86.1
150,4.13563,3.10846,1.02717,6.26336,5.03956,1.22380,85.7
151,4.14368,3.11126,1.03242,6.09952,4.86861,1.23091,86.8
152,4.15896,3.12879,1.03017,6.21275,4.98574,1.22701,88.0
153,4.15860,3.13207,1.02652,6.21858,4.98532,1.23325,86.0
154,4.12480,3.09563,1.02918,6.30445,5.08032,1.22412,86.6
155,4.01006,2.98412,1.02593,6.09855,4.86523,1.23332,85.5
156,4.11597,3.08625,1.02972,6.08885,4.86107,1.22778,83.8
157,4.07155,3.04533,1.02623,6.17546,4.94915,1.22631,82.4
158,4.08400,3.05513,1.02887,6.28004,5.05332,1.22672,83.1
159,4.11090,3.08642,1.02448,6.11826,4.89369,1.22457,83.6
160,4.05352,3.02605,1.02747,6.19638,4.96947,1.22691,83.7
161,4.10973,3.08346,1.02626,6.28311,5.05855,1.22456,83.5
162,4.05935,3.03506,1.02430,6.22404,5.00325,1.22080,83.3
163,4.12266,3.09443,1.02823,6.21081,4.98840,1.22241,84.6
164,4.04084,3.01712,1.02372,6.19121,4.96319,1.22802,84.1
165,4.15463,3.12910,1.02553,6.14640,4.92084,1.22556,83.9
166,4.11441,3.09186,1.02255,6.10325,4.87390,1.22934,83.6
167,4.03183,3.00640,1.02543,6.25200,5.03389,1.21811,83.6
168,4.07177,3.04634,1.02543,6.15095,4.92241,1.22854,83.5
169,4.12751,3.10132,1.02620,6.16362,4.94321,1.22041,84.5
170,4.02422,2.99820,1.02602,6.13131,4.91609,1.21522,83.5
171,4.04163,3.01507,1.02656,6.18560,4.96341,1.22219,84.2
172,3.97226,2.94161,1.03065,6.15799,4.91066,1.24734,83.7
173,3.95310,2.92718,1.02592,6.06611,4.83089,1.23522,83.7
174,4.04458,3.01735,1.02723,6.05198,4.82262,1.22935,83.7
175,3.99555,2.97192,1.02363,6.20263,4.97099,1.23164,82.9
176,4.01612,2.99167,1.02445,6.10463,4.87070,1.23393,83.1
177,4.00883,2.98504,1.02379,6.18682,4.95559,1.23123,83.6
178,4.00554,2.98085,1.02470,6.14102,4.90778,1.23325,88.4
179,3.95924,2.93552,1.02372,6.06816,4.83162,1.23654,84.4
180,4.02869,3.00019,1.02850,6.08720,4.85975,1.22745,87.8
181,3.93403,2.91204,1.02198,5.93302,4.69608,1.23694,83.5
182,3.97472,2.95129,1.02343,6.14543,4.92117,1.22426,82.9
183,3.90121,2.87793,1.02328,6.05819,4.82387,1.23432,84.1
184,3.99694,2.97159,1.02535,6.17236,4.92831,1.24405,83.1
185,3.97237,2.94989,1.02247,5.99854,4.76954,1.22901,84.0
186,3.97291,2.95194,1.02097,6.12416,4.89446,1.22970,84.7
187,4.06703,3.04320,1.02383,6.22664,4.99013,1.23650,84.5
188,3.86625,2.84753,1.01872,6.30041,5.08320,1.21721,83.6
189,3.93344,2.91633,1.01711,6.11174,4.87006,1.24167,83.9
190,3.90545,2.88273,1.02272,6.08973,4.85929,1.23044,83.1
191,3.95908,2.93753,1.02156,6.05244,4.82154,1.23090,83.4
192,3.90369,2.87761,1.02607,6.06627,4.83244,1.23384,83.2
193,3.97762,2.95656,1.02106,6.17628,4.93918,1.23710,83.1
194,3.86638,2.84558,1.02080,6.15479,4.92457,1.23022,83.4
195,3.95692,2.93740,1.01952,6.20403,4.97313,1.23089,83.8
196,3.87954,2.85917,1.02038,6.12345,4.88476,1.23869,83.7
197,3.92987,2.90987,1.02000,6.20717,4.97694,1.23023,83.7
198,3.89982,2.87885,1.02096,6.21235,4.96880,1.24355,82.6
199,3.85296,2.83085,1.02211,6.27630,5.04189,1.23441,82.8
200,3.88454,2.85827,1.02627,6.20289,4.96909,1.23380,82.3
201,3.88278,2.86693,1.01584,6.23027,4.98975,1.24052,82.9
202,3.79224,2.77567,1.01658,6.20422,4.97855,1.22567,82.2
203,3.87714,2.86119,1.01596,6.03508,4.80479,1.23028,83.3
204,3.81742,2.79869,1.01873,6.08670,4.85654,1.23016,83.1
205,3.88441,2.86620,1.01821,6.23479,5.00079,1.23399,83.5
206,3.85456,2.83774,1.01683,6.21602,4.98489,1.23112,83.6
207,3.82150,2.80124,1.02026,6.17098,4.93825,1.23274,83.5
208,3.75588,2.73683,1.01905,6.29767,5.06901,1.22865,83.4
209,3.78067,2.76440,1.01627,6.12108,4.89347,1.22761,83.7
210,3.79376,2.77691,1.01684,6.18106,4.95105,1.23000,83.6
211,3.91570,2.89847,1.01723,6.18070,4.94550,1.23520,84.4
212,3.81162,2.79266,1.01896,5.99530,4.76243,1.23288,83.6
213,3.77701,2.75999,1.01702,6.18755,4.94823,1.23932,83.2
214,3.81263,2.79156,1.02107,6.19415,4.95677,1.23738,82.7
215,3.81938,2.80034,1.01904,6.01982,4.77980,1.24002,82.6
216,3.76847,2.74973,1.01874,6.15126,4.91601,1.23525,82.7
217,3.80842,2.79390,1.01452,6.20038,4.96583,1.23455,82.3
218,3.80895,2.79375,1.01519,6.12942,4.88883,1.24059,82.3
219,3.78455,2.77396,1.01059,6.09034,4.86412,1.22622,82.0
220,3.81240,2.79287,1.01952,6.16579,4.93084,1.23496,82.4
221,3.76441,2.74788,1.01653,6.10400,4.87158,1.23242,82.4
222,3.76265,2.74603,1.01662,6.13095,4.90100,1.22995,82.1
223,3.77657,2.76354,1.01303,6.25262,5.02152,1.23109,82.7
224,3.82671,2.81106,1.01565,5.98070,4.74891,1.23178,82.6
225,3.74134,2.72786,1.01348,6.13763,4.90054,1.23708,83.0
226,3.81734,2.80279,1.01455,6.19856,4.96596,1.23260,82.5
227,3.78777,2.77627,1.01150,6.21822,4.98943,1.22879,83.6
228,3.75205,2.73597,1.01608,6.12348,4.87703,1.24645,83.1
229,3.75903,2.74524,1.01379,6.09293,4.85255,1.24039,82.5
230,3.73597,2.72234,1.01363,6.08333,4.84924,1.23410,82.8
231,3.84077,2.82947,1.01130,6.10080,4.87051,1.23029,86.1
232,3.68646,2.67331,1.01315,5.93596,4.70338,1.23258,89.0
233,3.63356,2.62446,1.00910,5.92548,4.69125,1.23423,82.9
234,3.77117,2.75944,1.01173,6.03898,4.81287,1.22611,82.6
235,3.75077,2.74109,1.00968,5.97011,4.73565,1.23446,82.6
236,3.68561,2.67709,1.00853,6.22510,4.99317,1.23193,82.2
237,3.63838,2.62749,1.01090,6.15357,4.91445,1.23912,83.4
238,3.65021,2.63874,1.01147,6.18078,4.95331,1.22747,82.9
239,3.75205,2.74043,1.01162,6.16312,4.93071,1.23241,81.1
240,3.66981,2.65494,1.01487,6.21049,4.98094,1.22956,81.1
241,3.68070,2.66817,1.01253,6.18820,4.95543,1.23277,81.6
242,3.75638,2.74581,1.01057,6.14254,4.91921,1.22333,81.6
243,3.69745,2.68578,1.01167,6.25353,5.01215,1.24138,81.8
244,3.68349,2.66833,1.01517,6.20733,4.97842,1.22891,82.1
245,3.63123,2.61940,1.01183,6.22544,4.99375,1.23169,81.9
246,3.70142,2.69108,1.01034,6.11767,4.88493,1.23274,82.1
247,3.67384,2.66371,1.01013,5.90568,4.67677,1.22891,82.3
248,3.64608,2.63255,1.01352,6.05913,4.81873,1.24040,81.8
249,3.64178,2.62957,1.01221,5.87810,4.64512,1.23297,82.8
250,3.67826,2.66990,1.00837,6.08852,4.85624,1.23228,82.4
251,3.69181,2.68099,1.01082,6.07683,4.83809,1.23874,82.4
252,3.67822,2.67005,1.00817,5.90192,4.66639,1.23553,82.3
253,3.62455,2.61574,1.00881,6.14300,4.91284,1.23016,84.7
254,3.69193,2.68257,1.00936,6.10898,4.87953,1.22945,85.1
255,3.64715,2.63900,1.00815,6.06826,4.82855,1.23971,82.1
256,3.59774,2.58947,1.00827,6.07891,4.84730,1.23162,86.1
257,3.65616,2.64400,1.01216,6.12642,4.89114,1.23527,85.2
258,3.64324,2.63396,1.00928,6.05426,4.81354,1.24072,84.4
259,3.54718,2.54295,1.00423,6.07444,4.84235,1.23209,81.5
260,3.64615,2.63784,1.00831,6.20212,4.96514,1.23699,81.5
261,3.65295,2.63902,1.01393,6.10287,4.86913,1.23374,81.6
262,3.67961,2.66856,1.01105,6.06818,4.83281,1.23538,81.6
263,3.64709,2.63642,1.01067,6.28772,5.03148,1.25624,81.0
264,3.61922,2.61156,1.00767,6.05666,4.82428,1.23238,81.6
265,3.60694,2.60162,1.00532,6.17973,4.94669,1.23303,81.6
266,3.66103,2.65483,1.00620,6.07655,4.82398,1.25257,81.8
267,3.62972,2.62155,1.00817,6.12995,4.90721,1.22274,80.9
268,3.57733,2.57460,1.00273,6.02047,4.78225,1.23822,81.1
269,3.55063,2.54428,1.00636,6.09835,4.86198,1.23636,81.0
270,3.60908,2.60546,1.00362,6.16615,4.93508,1.23107,80.8
271,3.64242,2.63297,1.00945,5.90744,4.67485,1.23259,80.8
272,3.65056,2.64344,1.00712,6.07913,4.84994,1.22918,81.0
273,3.51082,2.50881,1.00201,6.02535,4.77952,1.24583,81.1
274,3.64543,2.63811,1.00732,6.07502,4.81810,1.25692,81.6
275,3.51292,2.51309,0.99984,6.02928,4.79026,1.23902,81.4
276,3.60014,2.59192,1.00822,6.14755,4.91697,1.23058,80.8
277,3.55358,2.54884,1.00474,6.09115,4.86176,1.22939,80.5
278,3.58452,2.58122,1.00330,6.08156,4.85356,1.22800,80.9
279,3.60644,2.60207,1.00437,6.08344,4.85014,1.23330,80.9
280,3.58308,2.58141,1.00166,6.04571,4.81433,1.23138,80.8
281,3.53642,2.53211,1.00430,6.18597,4.95077,1.23520,80.9
282,3.59848,2.59491,1.00357,6.27248,5.04016,1.23233,81.0
283,3.64947,2.64771,1.00177,6.08218,4.84479,1.23740,80.7
284,3.58143,2.57869,1.00273,6.16629,4.92446,1.24183,81.6
285,3.54740,2.54425,1.00315,6.04890,4.81803,1.23086,81.6
286,3.53363,2.53142,1.00221,6.13018,4.90193,1.22824,80.6
287,3.51835,2.51345,1.00490,6.02490,4.79670,1.22820,81.2
288,3.60614,2.60179,1.00435,5.94137,4.71760,1.22377,80.8
289,3.53618,2.53301,1.00317,6.06115,4.83558,1.22557,81.7
290,3.48609,2.48496,1.00113,5.95787,4.72619,1.23169,81.6
291,3.57091,2.57059,1.00032,5.86914,4.64068,1.22845,80.9
292,3.47724,2.47573,1.00151,6.11522,4.88452,1.23070,81.4
293,3.49409,2.49171,1.00237,5.97153,4.73436,1.23717,81.3
294,3.52662,2.52587,1.00076,6.02761,4.78948,1.23814,81.2
295,3.50657,2.50518,1.00139,6.11881,4.88186,1.23695,81.3
296,3.56200,2.55681,1.00519,6.05135,4.82130,1.23005,81.1
297,3.60121,2.59464,1.00657,6.00414,4.77914,1.22500,80.9
298,3.54175,2.53881,1.00295,6.05416,4.82996,1.22420,81.3
299,3.49290,2.49340,0.99950,6.00945,4.77518,1.23427,81.6
300,3.50420,2.50369,1.00051,6.13610,4.90591,1.23019,82.2
301,3.53107,2.53279,0.99828,6.03051,4.80006,1.23045,81.5
302,3.48362,2.48150,1.00211,5.94559,4.71161,1.23398,82.3
303,3.47170,2.47065,1.00105,6.11011,4.88711,1.22300,82.3
304,3.49233,2.49193,1.00041,6.02261,4.79269,1.22992,82.2
305,3.41013,2.40707,1.00306,5.88100,4.63927,1.24173,82.3
306,3.44533,2.44339,1.00193,6.16684,4.94188,1.22496,85.7
307,3.51199,2.51237,0.99961,5.93870,4.70349,1.23520,81.8
308,3.51570,2.51251,1.00319,5.98158,4.73305,1.24853,81.3
309,3.45906,2.45617,1.00289,6.03567,4.80438,1.23129,81.7
310,3.53369,2.53147,1.00222,5.84376,4.61369,1.23007,82.0
311,3.52149,2.51860,1.00289,6.07118,4.85089,1.22029,81.7
312,3.51058,2.50225,1.00833,6.19790,4.95992,1.23799,81.5
313,3.47142,2.46647,1.00495,6.07309,4.81428,1.25880,82.5
